Brand,Car Name,Body Type,Seats,Fuel Type,Price_Lakh,Mileage_kmpl,Power_BHP,Safety_Stars,Rating_is,Price_Bucket,image_url
Maruti Suzuki,Maruti Brezza,SUV,5.0,"CNG, Petrol",11.245,18.59,94.0,4.0,4.4,10-15L,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/2021_Maruti_Suzuki_Vitara_Brezza_VXI.jpg/960px-2021_Maruti_Suzuki_Vitara_Brezza_VXI.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Maruti Suzuki,Maruti Fronx,Hatchback,5.0,"CNG, Petrol",10.275,21.450000000000003,94.0,4.0,4.5,10-15L,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Suzuki_Fronx_FFV_Concept.jpg/960px-Suzuki_Fronx_FFV_Concept.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Maruti Suzuki,Maruti Swift,Hatchback,5.0,"CNG, Petrol",8.04,25.275,85.0,3.0,4.6,0-10L,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/2018_Suzuki_Swift_SZ5_Boosterjet_SHVS_1.0_Front.jpg/960px-2018_Suzuki_Swift_SZ5_Boosterjet_SHVS_1.0_Front.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Maruti Suzuki,Maruti Dzire,Sedan,5.0,"CNG, Petrol",8.465,25.25,85.0,5.0,4.7,0-10L,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Maruti_Suzuki_Swift_Dzire.jpg/960px-Maruti_Suzuki_Swift_Dzire.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Maruti Suzuki,Maruti Baleno,Hatchback,5.0,"CNG, Petrol",8.27,22.645000000000003,82.0,3.0,4.5,0-10L,https://upload.wikimedia.org/wikipedia/commons/f/ff/Baleno_Maruti_Suzuki.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled
Maruti Suzuki,Maruti Grand Vitara,SUV,5.0,"CNG, Hybrid, Petrol",15.54,24.275,94.5,4.0,4.4,15-20L,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/2024_Suzuki_Vitara_%284th_generation%29_DSC_6083.jpg/960px-2024_Suzuki_Vitara_%284th_generation%29_DSC_6083.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Maruti Suzuki,Maruti Wagon R,Hatchback,5.0,"CNG, Petrol",6.46,28.805,73.0,2.0,4.5,0-10L,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/2018_Suzuki_Karimun_Wagon_R_GL_%28front%29.jpg/960px-2018_Suzuki_Karimun_Wagon_R_GL_%28front%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Maruti Suzuki,Maruti Alto K10,Hatchback,5.0,"CNG, Petrol",4.975,24.645,62.0,2.0,4.6,0-10L,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Parked_Maruti_Suzuki_Alto_K10.jpg/960px-Parked_Maruti_Suzuki_Alto_K10.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Maruti Suzuki,Maruti Ertiga,MPV,7.0,"CNG, Petrol",10.86,20.405,94.5,3.0,4.6,10-15L,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Maruti_Suzuki_Ertiga%281%29.jpg/960px-Maruti_Suzuki_Ertiga%281%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
Maruti Suzuki,Maruti XL6,MPV,6.0,"CNG, Petrol",13.19,20.62,94.5,3.0,4.4,10-15L,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Maruti_Suzuki_XL6_%28front%29.jpg/960px-Maruti_Suzuki_XL6_%28front%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail
